ID;Название компании;Логотип;Тип компании;Сфера деятельности;Кол-во сотрудников;Годовой оборот;Валюта;Комментарий;Ответственный;Рабочий телефон;Мобильный телефон;Номер факса;Домашний телефон;Номер пейджера;Телефон для рассылок;Другой телефон;Корпоративный сайт;Личная страница;Страница Facebook;Страница ВКонтакте;Страница LiveJournal;Микроблог Twitter;Другой сайт;Рабочий e-mail;Частный e-mail;E-mail для рассылок;Другой e-mail;Контакт Facebook;Контакт Telegram;Контакт ВКонтакте;Контакт Viber;Комментарии Instagram;Контакт Битрикс24 Network;Онлайн-чат;Контакт Открытая линия;Другой контакт;Связанный пользователь;Банковские реквизиты;Доступен для всех;Компания продавец
2001;АДМИНИСТРАЦИЯ СЕЛЬСКОГО ПОСЕЛЕНИЯ БУРИКАЗГАНОВСКИЙ СЕЛЬСОВЕТ МУНИЦИПАЛЬНОГО РАЙОНА СТЕРЛИТАМАКСКИЙ Р;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0242001236;да;
2002;"Алданский филиал АО ""Теплоэнергосервис""";;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1435191592;да;
2003;"АО ""АльфаСтрахование""";;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;да;
2004;АМ-ТЕХНИКА АО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6317033655;да;
2005;АСТОН АО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6162015019;да;
2006;ВГС АО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8001007437;да;
2007;ВТЗ АО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3435900186;да;
2008;ГК ЭЛЕКТРОЩИТ - ТМ САМАРА АО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6313009980;да;
2009;ДЭП № 104 АО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0224011552;да;
2010;ЕВРАЗ ЗСМК АО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4218000951;да;
2011;ЕГОРЬЕВСК-ОБУВЬ АО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5011017647;да;
2012;ЗАВОД КОПИР АО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1217000287;да;
2013;ЗОМЗ АО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5042010793;да;
2014;ИНСТЭБ АО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4629007470;да;
2015;КАМЕНСКВОЛОКНО АО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6147019153;да;
2016;КВАРТ АО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1653007780;да;
2017;КОМЗ АО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1660004229;да;
2018;ЛЕПСЕ АО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5044000014;да;
2019;МЕЛЕУЗОВСКИЕ МИНЕРАЛЬНЫЕ УДОБРЕНИЯ АО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0263009557;да;
2020;МЕМОТЕРМ-ММ АО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7722009140;да;
2021;ММЗ АО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7415061758;да;
2022;МОСКОВСКОЕ ПРОП АО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7743384198;да;
2023;НИИПП АО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7017084932;да;
2024;ОБУВНАЯ ФИРМА ЮНИЧЕЛ АО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7448008453;да;
2025;ОКЗ АО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5752050600;да;
2026;"АО ""ОХК ""УРАЛХИМ""";;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7703647595;да;
2027;"АО ""ОХК ""УРАЛХИМ""";;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7703647595;да;
2028;ПАО МАССАНДРА АО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9103094582;да;
2029;"АО ""ПЛЕМЗАВОД ""АДЛЕР""";;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2367006890;да;
2030;ПО УОМЗ АО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6672315362;да;
2031;ПОЛИЭФ АО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0258005638;да;
2032;ПРОМСОРТ-УРАЛ АО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6646009256;да;
2033;РИР АО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7706757331;да;
2034;САЛАВАТСТЕКЛО АО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0266004050;да;
2035;СГК-Алтай АО (БАРНАУЛЬСКАЯ ГЕНЕРАЦИЯ АО);;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2224152758;да;
2036;СНХЗ АО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0268004714;да;
2037;СУМЗ, АО СРЕДНЕУРАЛЬСКИЙ МЕДЕПЛАВИЛЬНЫЙ ЗАВОД АО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6627001318;да;
2038;ТЕПЛОЭНЕРГОСЕРВИС АО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1435191592;да;
