ID;Внешний код;Название;Символьный код;Описание;Формат описания;Активен;Валюта;Цена;Ставка НДС;НДС включён в цену;Единица измерения;Раздел (уровень 1);Раздел (уровень 2);Раздел (уровень 3);Сорт.;Картинка для анонса;Детальная картинка;Картинка;Наименование;Колличество
1001;;Teplast 55 прозрачный (гранула);imported_product;Товар для демонстрации импорта;;да;RUB;140;НДС 22%;да;тонна;Пластикат продукция;;;;;;;;10000
1002;;Teplast 55 черный (гранула);;;;да;RUB;140;НДС 22%;да;тонна;Пластикат продукция;;;;;;;;10000
1003;;Teplast 65 серый 7046 (гранула);;;;да;RUB;140;НДС 22%;да;тонна;Пластикат продукция;;;;;;;;10000
1004;;Пластикат FHP-60 прозрачный (гранула);;;;да;RUB;140;НДС 22%;да;тонна;Пластикат продукция;;;;;;;;10000
1005;;Пластикат Iplex 55 красный 3020 (гранула);;;;да;RUB;140;НДС 22%;да;тонна;Пластикат продукция;;;;;;;;10000
1006;;Пластикат Iplex 55 серый 7035 (гранула);;;;да;RUB;140;НДС 22%;да;тонна;Пластикат продукция;;;;;;;;10000
1007;;Пластикат Iplex 65 черный (гранула);;;;да;RUB;140;НДС 22%;да;тонна;Пластикат продукция;;;;;;;;10000
1008;;Пластикат Iplex Т, КЩС 50 серый 7046 (гранула);;;;да;RUB;140;НДС 22%;да;тонна;Пластикат продукция;;;;;;;;10000
1009;;Пластикат O-plex 70В черный (гранула);;;;да;RUB;140;НДС 22%;да;тонна;Пластикат продукция;;;;;;;;10000
1010;;Пластикат Politex 150М черный (гранула);;;;да;RUB;140;НДС 22%;да;тонна;Пластикат продукция;;;;;;;;10000
1011;;Пластикат Politex 160М черный (гранула);;;;да;RUB;140;НДС 22%;да;тонна;Пластикат продукция;;;;;;;;10000
1012;;Пластикат Politex 55 красный 3020 (гранула);;;;да;RUB;140;НДС 22%;да;тонна;Пластикат продукция;;;;;;;;10000
1013;;Пластикат Politex 65 черный (гранула);;;;да;RUB;140;НДС 22%;да;тонна;Пластикат продукция;;;;;;;;10000
1014;;Пластикат Politex 70 НГ черный (гранула);;;;да;RUB;140;НДС 22%;да;тонна;Пластикат продукция;;;;;;;;10000
1015;;Пластикат Politex L  желтый 1026 (гранула);;;;да;RUB;140;НДС 22%;да;тонна;Пластикат продукция;;;;;;;;10000
